instruction,input,output
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(b) In pursuance of Article 4 of the Indicative Contractual Terms, the Additional Representations of Party B shall include the following:",(б) Для целей статьи 4 Примерных условий договора Дополнительные заявления Стороны Б составляют:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(A) Party B will enter into each Transaction for the commercial purpose of managing risks arising in the course of its business activities.,"(А) Сторона Б заключает каждую Сделку с хозяйственной целью, заключающейся в управлении рисками, возникающими в процессе ее предпринимательской деятельности."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(B) Party B understands the content of all terms of the Master Agreement, including each Transaction, and the Security Document.","(Б) Стороне Б понятно содержание всех условий Генерального соглашения, в том числе каждой из Сделок, и Документа об обеспечении."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(C) Party B has made its own independent decision to enter into the Master Agreement, including each Transaction, and concerning its acceptability or expediency based on its own judgment and in accordance with the recommendations of such consultants as it deemed necessary, and understands the risks associated with the possibility of incurring losses due to changes in the market value of the underlying asset of the Transactions. When deciding to enter into the Master Agreement, including each Transaction, Party B did not rely on any information regarding the Master Agreement, each Transaction and any terms thereof, or the risks inherent in certain types of derivative financial instruments, that was received from Party A, as investment advice to enter into the Master Agreement, including each Transaction, and such information is not considered by it as an individual investment recommendation within the meaning of the Federal Law “On the Securities Market”.","(В) Сторона Б приняла собственное независимое решение о заключении Генерального соглашения, в том числе каждой из Сделок, и о его приемлемости или целесообразности на основании собственного суждения и в соответствии с рекомендациями тех консультантов, привлечение которых она сочла необходимым, понимает риски, связанные с возможностью возникновения у нее убытков вследствие изменения рыночной стоимости базового актива Сделок. При принятии решения о заключении Генерального соглашения, в том числе каждой Сделки, Сторона Б не полагалась на информацию о Генеральном соглашении, каждой Сделке и её условиях, о рисках, присущих отдельным видам производных финансовых инструментов, полученную от Стороны А, как на инвестиционный совет заключить Генеральное соглашение, в том числе каждую Сделку, и такая информация не рассматривается ею как индивидуальная инвестиционная рекомендация в значении Федерального закона «О рынке ценных бумаг»."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(D) Party B does not rely on any information (in written or oral form) received from Party A regarding the conclusion of the Master Agreement, including each Transaction, and Party A does not perform the functions of an investment advisor, financial consultant, investment consultant, or attorney-in-fact for Party B with respect to the Master Agreement, including each Transaction.","(Г) Сторона Б не полагается на какую-либо информацию (в письменной или устной форме), полученную от Стороны А в отношении заключения Генерального соглашения, в том числе каждой из Сделок, и Сторона А не выполняет в отношении Стороны Б функций инвестиционного советника, финансового консультанта, консультанта по инвестициям либо поверенного в отношении Генерального соглашения, в том числе каждой из Сделок."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","E) Party B is entitled to conclude Transactions under the Master Agreement, taking into account the requirements of special economic measures and coercive measures, measures of influence (countermeasures) aimed at ensuring the economic sovereignty and economic security of the Russian Federation, in force in the Russian Federation, including those established by the President of the Russian Federation; conclusion and execution of each of the Transactions by Party B shall not violate the above measures.","Д) Сторона Б вправе совершать Сделки в рамках Генерального соглашения с учетом действующих в Российской Федерации требований специальных экономических мер и принудительных мер, мер воздействия (противодействия), направленных на обеспечение экономического суверенитета и экономической безопасности Российской Федерации, в том числе устанавливаемых Президентом Российской Федерации, заключение и исполнение каждой из Сделок Стороной Б не будет нарушать вышеуказанные меры."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(c) In pursuance of Article 4 of the Indicative Contractual Terms, the Additional Representations of Party A and Party B shall include the following:",(в) Для целей статьи 4 Примерных условий договора Дополнительные заверения Стороны А и Стороны Б составляют:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(A) Either Party undertakes to promptly notify the other Party of its Default, Technical Default, Bankruptcy, Potential Bankruptcy, or any other Early Termination Event known to it.","(А) Сторона обязуется незамедлительно уведомлять другую Сторону о своем Нарушении обязательства, Техническом дефолте, Банкротстве, Потенциальном банкротстве или известном ей Ином основании досрочного прекращения."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(B) Either Party undertakes to refrain from entering into the Transaction if this entails a violation of legislation, the constituent documents of that Party, acts of a judicial or other governmental body or local self-management body applicable to that Party, provisions of contracts and unilateral transactions binding on that Party, or if it leads to the occurrence of a Default, Technical Default, Bankruptcy, Potential Bankruptcy, or other Early Termination Event.","(Б) Сторона обязуется воздержаться от заключения Сделки, если это повлечет за собой нарушение законодательства, учредительных документов этой Стороны, актов судебного или иного государственного органа либо органа местного самоуправления, применимых к этой Стороне, обязательных для этой Стороны положений договоров и односторонних сделок либо если это приведет к наступлению Нарушения обязательства, Технического дефолта, Банкротства, Потенциального банкротства или Иного основания досрочного прекращения."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",5.10 Business Day has the meaning specified in Article 12 of the Indicative Contractual Terms.,"5.10 Рабочий день имеет значение, указанное в статье 12 Примерных условий договора."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","5.11 Repository, as well as the procedure for interaction with the Repository, are defined in Appendix 1 to the Master Agreement.",5.11 Репозитарий а также порядок взаимодействия с Репозитарием определены в Приложении 1 к Генеральному соглашению.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","5.12 Electronic Communication Means the Diadoc electronic document management system, e-mail, telephone and any other electronic communication means agreed upon by the Parties in the Confirmation or otherwise in relation to the relevant Transaction.","5.12 Электронные средства связи означает систему электронного документооборота «Диадок», электронную почту, телефон и любые другие электронные средства связи, согласованные Сторонами в Подтверждении или иным образом в отношении соответствующей Сделки."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","5.13 Recording of Telephone Conversations. The Parties have agreed that they may record any and all telephone conversations between them and that any tape (or any other tangible recording medium) with such a recording may serve as evidence in any dispute resolution in any court for the purpose of establishing any matters related to the Master Agreement, including any of the Transactions. In the event of any dispute between the Parties regarding the terms of any Transaction, the Parties may use the recording of telephone conversations for the purpose of confirming its terms.","5.13 Запись телефонных переговоров. Стороны соглашаются с тем, что каждая из них может вести запись всех и любых телефонных переговоров между ними и что любая пленка (либо любой иной материальный носитель записи) с такой записью может служить доказательством при любом рассмотрении споров в любом суде в целях установления любых вопросов, относящихся к Генеральному соглашению, в том числе любой из Сделок. В случае возникновения между Сторонами любого спора в отношении условий какой-либо Сделки, Стороны могут использовать запись телефонных переговоров для целей подтверждения ее условий."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",6. Miscellaneous,6. Прочие положения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Reciprocal Performance of Obligations,Встречное исполнение обязательств
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","6.1 Without prejudice to the provisions of clauses 3.3 and 3.4, Article 3 of the Indicative Contractual Terms, with respect to any Transaction under which the Parties´ obligations for payment(s) and/or delivery(ies) are to be fulfilled on the same date, unless otherwise provided for by the relevant Confirmation, Party A’s fulfillment of its payment or delivery obligation is conditional upon Party B’s fulfillment of its payment or delivery obligation. Party A shall fulfill its obligation no later than the end of the Business Day following the date on which Party B fulfilled its obligation.","6.1 Без ущерба для действия пунктов 3.3 и 3.4 статьи 3 Примерных условий договора, в отношении любой Сделки, по условиям которой обязательства Сторон по платежу (платежам) и (или) поставке (поставкам) подлежат исполнению в одну дату, если иное не предусмотрено соответствующим Подтверждением, исполнение Стороной А своего обязательства по платежу или поставке обусловлено исполнением Стороной Б своего обязательства по платежу или поставке. Сторона А обязана исполнить свое обязательство не позднее окончания Рабочего дня, следующего за датой, в которую Сторона Б исполнила свое обязательство."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Assignment of Rights,Уступка прав
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","6.2 Clause 8.3, Article 8 of the Indicative Contractual Terms shall be amended to read as follows:",6.2 Пункт 8.3 статьи 8 Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“A Party may not assign, transfer, dispose of, or otherwise deal with the rights (claims) owned by it under the Master Agreement without the prior written consent of the other Party, except for the assignment by Party A as the Non-Defaulting Party of claims related to the Termination Amount in the event of early termination of obligations under the Transactions or the assignment by Party A of claims arising from the Master Agreement, including all or any part of the Transactions”.","""Сторона не вправе уступать, передавать, отчуждать или иным образом распоряжаться правами (требованиями), принадлежащими ей на основании Генерального соглашения, без предварительного письменного согласия другой Стороны, за исключением уступки Стороной А как Ненарушившей стороной требований в отношении Суммы денежного обязательства при прекращении в случае досрочного прекращения обязательств по Сделкам или уступки Стороной А требований из Генерального соглашения, в том числе всех или части Сделок""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Receipt of Notices,Получение уведомлений
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",6.3 Clause 10.1 of the Indicative Contractual Terms shall be amended to read as follows:,6.3 Изложить пункт 10.1 Примерных условий договора в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“A notice or another communication under the Master Agreement may be sent by any of the methods listed below to the address or other details specified in the Master Agreement, and shall be deemed received:","«Уведомление или иное сообщение по Генеральному соглашению может направляться любым из способов, перечисленных ниже, по адресу или иным реквизитам, указанным в Генеральном соглашении, и считается полученным:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",- if in hard copy and delivered in person or by courier — at the time of delivery;,- если составлено на бумажном носителе и доставлено лично или с курьером – в момент доставки;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","- if in hard copy and sent by mail with acknowledgment of receipt (or in another similar manner with delivery confirmation) — at the time of delivery. In this case, the notice shall be deemed received if it was sent by the sending Party to the last known location of the receiving Party, but was not delivered due to the absence of the addressee at the specified address or due to the receiving Party’s refusal to accept the notice, of which the postal service informed the sending Party;","- если составлено на бумажном носителе и отправлено по почте с уведомлением о вручении (или иным аналогичным образом с подтверждением доставки) — в момент доставки. При этом уведомление считается полученным, если оно направлено Стороной-отправителем по последнему известному ей месту нахождения Стороны-получателя, но не вручено в связи с отсутствием адресата по указанному адресу или по причине отказа Стороны-получателя принять уведомление, о чем орган связи проинформировал Сторону-отправителя;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",- if sent by email — at the time of delivery;,- если отправлено по электронной почте – в момент доставки;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","- if sent by Electronic means, other than the Diadoc electronic document management system – from the time of delivery;","- если отправлено по Электронным средствам, кроме системы электронного документооборота «Диадок» – с момента доставки;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",- if sent via the Diadoc electronic document management system – from the time of changing the status to the “document received”.,- если отправлено по системе электронного документооборота «Диадок» - с момента изменения статуса на документ получен.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",The Parties acknowledge and agree that notices and other communications under the Master Agreement sent in accordance with the terms of the Master Agreement are equivalent to hard copy documents signed manually.,"Стороны признают и соглашаются, что уведомления и иные сообщения по Генеральному соглашению, направленные в соответствии с условиями Генерального соглашения равнозначны документам на бумажном носителе, подписанным собственноручной подписью."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","The Parties undertake to provide access to their Electronic Communication Means and telephone only to those persons who are authorized to conclude the Transactions, confirm their terms, as well as to change the terms of the concluded Transactions, send any notices and other messages under the Master Agreement on behalf of that Party (as applicable), and take all measures necessary to present any unauthorized access (including maintaining the confidentiality of the information necessary to create and send such messages).","Стороны обязуются обеспечить доступ к своим Электронным средствам связи и телефону только тех лиц, которые уполномочены заключать Сделки, подтверждать их условия, а также изменять условия заключенных Сделок и направлять любые уведомления и иные сообщения по Генеральному соглашению от имени этой Стороны (как применимо), и предпринимать все меры, необходимые для обеспечения невозможности доступа неуполномоченных лиц (в том числе, соблюдать конфиденциальность информации, необходимой для создания и направления таких сообщений)."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Notwithstanding other provisions of the Master Agreement, the Parties hereby agree that the fact of any person´s access to either Party´s Electronic Communication Means and telephone, the conduct of negotiations using the Electronic Communication Means and telephone, and the sending of messages by such a person using the Electronic Communication Means of this Party and telephone shall constitute indisputable evidence of this person´s authority to conclude the Transactions or confirm their terms on behalf of this Party (as applicable), regardless of whether the other Party has been granted, in accordance with Article 4 of the Master Agreement, a power of attorney and other documents confirming the authority of this person.","Несмотря на иные положения Генерального соглашения, Стороны настоящим соглашаются с тем, что факт доступа какого-либо лица к Электронным средствам связи и телефону Стороны и проведение переговоров с использованием Электронных средств связи и телефона, отправление таким лицом сообщений с использованием Электронных средств связи этой Стороны и телефона, является неоспоримым свидетельством полномочий такого лица по заключению Сделок или подтверждению их условий от имени этой Стороны (как применимо), вне зависимости от того, получена ли другой Стороной в соответствии со статьей 4 Генерального соглашения доверенность и иные документы, подтверждающие полномочия такого лица."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Printouts of negotiations shall be unconditionally accepted by the Parties as evidence of the conclusion and/or confirmation of the terms of the Transactions, including recognition thereof in the course of legal proceedings. In the event of any dispute, the Parties shall have the right to use other evidence of the conclusion and/or confirmation of the terms of the Transactions.","Распечатки переговоров безусловно принимаются Сторонами в качестве свидетельства заключения и/или подтверждения условий Сделок, в том числе признание таковых в ходе судебных разбирательств. В случае возникновения спора, Стороны имеют право воспользоваться иными доказательствами заключения и/или подтверждения условий Сделок."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","In the event of any dispute regarding the existence and/or validity of any printouts of negotiations, any notice or another communication and/or recordings of telephone conversations made by a Party, such a dispute shall be considered in accordance with the dispute resolution procedure provided for in the Master Agreement, with the burden of proving the absence and/or invalidity of the relevant printouts of negotiations, relevant notice or another communication and/or recordings of telephone conversations lying with the Party disputing the existence and/or validity thereof.","В случае возникновения любого спора относительно существования и/или действительности любых распечаток переговоров, любого уведомления или иного сообщения и/или записи телефонных переговоров, сделанных Стороной, такой спор должен быть рассмотрен в соответствии с порядком разрешения споров, предусмотренном в Генеральном соглашении, причем бремя доказывания отсутствия и/или недействительности соответствующих распечаток переговоров, соответствующего уведомления или иного сообщения и/или записи телефонных переговоров лежит на Стороне, оспаривающей существование и/или действительность таковых."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","If the Parties´ agreement establishes an obligation to exchange notices or other communications under the Master Agreement (including if either Party acts as the Settlement Agent for the Transaction), the failure of either Party (the “first party” for the purposes of this paragraph) that has received a relevant message from the other Party (the “second party” for the purposes of this paragraph) to sign the received message and/or to send such a message signed by the first party to the second party, and/or the non-receipt by the second party of such a message signed by the first party shall not cancel or alter the Parties´ obligations to act in accordance with the message sent by the second party. The provisions of this paragraph shall not apply to the exchange of the Confirmations between the Parties.","Если соглашением Сторон установлена обязанность обмена уведомлениями или иными сообщениями по Генеральному соглашению (в том числе, если какая-либо Сторона действует в качестве Расчетного агента по Сделке), неисполнение Стороной (""первая сторона"" для целей настоящего абзаца), получившей соответствующее сообщение от другой Стороны (""вторая сторона"" для целей настоящего абзаца), обязанности по подписанию полученного сообщения и/или по направлению второй стороне такого сообщения, подписанного первой стороной, и/или неполучение второй стороной такого сообщения, подписанного первой стороной, не отменяет и не изменяет обязательства Сторон действовать согласно направленному второй стороной сообщению. Положения настоящего абзаца не подлежат применению к обмену Сторонами Подтверждениями.»."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Interest,Проценты
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","6.4 In clause 12.1, Article 12 of the Indicative Contractual Terms, the definition of “Interest” shall be amended to read as follows:","6.4 В пункте 12.1 статьи 12 Примерных условий договора определение ""Проценты"" изложить в следующей редакции:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",“Interest” means interest payable:,"""Проценты означает проценты, уплачиваемые:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(a) in relation to clause 6.11, Article 6 of the Indicative Contractual Terms for the purpose of determining the Overdue Amount;",(а) применительно к пункту 6.11 статьи 6 Примерных условий договора в целях определения Просроченной суммы;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(b) in relation to clause 6.13, Article 6 of the Indicative Contractual Terms for the purpose of determining the Interest accrued on the Termination Amount;","(б) применительно к пункту 6.13 статьи 6 Примерных условий договора в целях определения Процентов, начисляемых на Сумму денежного обязательства при прекращении;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(c) in relation to clauses 7.1-7.4, Article 7 of the Indicative Contractual Terms,","(в) применительно к пунктам 7.1 - 7.4 статьи 7 Примерных условий договора,"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",at the rate of the cost of credit resources for the respective payee plus 1% per annum. The cost of credit resources shall be determined as follows:,в размере стоимости кредитных ресурсов для соответствующего получателя платежа плюс 1% годовых. При этом стоимость кредитных ресурсов определяется в следующем порядке:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(i) for obligations denominated in RUB — the RUONIA “overnight” RUB deposit rate posted on ruonia.ru, effective on the date when the respective obligation was due to be fulfilled but was not fulfilled;","(i) для обязательств, выраженных рублях – ставка по депозитам в рублях на срок ""overnight"" RUONIA, публикуемая на странице ruonia.ru, действовавшая на дату, когда соответствующее обязательство должно было быть исполнено, но не было исполнено;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(ii) for obligations denominated in USD — the SOFR deposit rate (Secured Overnight Financing Rate in USD) posted on sofrrate.com, effective on the date when the respective obligation was due to be fulfilled but was not fulfilled;","(ii) для обязательств, выраженных в долларах США – ставка по депозитам SOFR (обеспеченная ставка овернайт в долларах США), публикуемая на странице sofrrate.com, действовавшая на дату, когда соответствующее обязательство должно было быть исполнено, но не было исполнено;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(iii) for obligations denominated in EUR — the EUR short-term rate (€STR) (short-term rate in EUR) posted at https://www.ecb.europa.eu/stats/financial_markets_and_interest_rates/euro_short-term_rate/html/index.en.html, effective on the date when the respective obligation was due to be fulfilled but was not fulfilled;","(iii) для обязательств, выраженных в евро – Euro short-term rate (€STR) (краткосрочная ставка в Евро), публикуемая на странице https://www.ecb.europa.eu/stats/financial_markets_and_interest_rates/euro_short-term_rate/html/index.en.html, действовавшая на дату, когда соответствующее обязательство должно было быть исполнено, но не было исполнено;"
